time,open,high,low,close,volume
2026-01-27T09:30:00-05:00,12.57,12.635,12.24,12.42,66713.0
2026-01-27T09:45:00-05:00,12.43,12.46,11.985,11.985,71327.0
2026-01-27T10:00:00-05:00,11.99,12.09,11.885,11.93,74522.0
2026-01-27T10:15:00-05:00,11.94,12.05,11.84,11.92,95742.0
2026-01-27T10:30:00-05:00,11.91,12.115,11.905,12.015,60870.0
2026-01-27T10:45:00-05:00,12.02,12.195,12.02,12.19,170307.0
2026-01-27T11:00:00-05:00,12.2,12.345,12.11,12.305,49717.0
2026-01-27T11:15:00-05:00,12.295,12.44,12.285,12.38,49719.0
2026-01-27T11:42:00-05:00,12.34,12.34,12.25,12.255,11034.0
2026-01-27T12:00:00-05:00,12.18,12.215,12.14,12.18,14553.0
2026-01-27T12:15:00-05:00,12.18,12.225,12.15,12.225,6824.0
2026-01-27T12:36:00-05:00,12.19,12.19,12.155,12.175,6307.0
2026-01-27T12:45:00-05:00,12.19,12.23,12.19,12.23,1491.0
2026-01-27T13:07:00-05:00,12.165,12.215,12.145,12.205,2624.0
2026-01-27T13:16:00-05:00,12.195,12.23,12.18,12.21,10976.0
2026-01-27T13:33:00-05:00,12.21,12.24,12.21,12.22,7736.0
2026-01-27T13:46:00-05:00,12.25,12.255,12.23,12.23,6852.0
2026-01-27T14:08:00-05:00,12.22,12.25,12.22,12.24,24114.0
2026-01-27T14:17:00-05:00,12.23,12.32,12.23,12.3,34287.0
2026-01-27T14:33:00-05:00,12.33,12.36,12.325,12.34,8547.0
