time,open,high,low,close,volume
2026-01-27T08:46:00-05:00,9.98,9.98,9.98,9.98,335.0
2026-01-27T09:08:00-05:00,9.94,9.95,9.93,9.95,500.0
2026-01-27T09:16:00-05:00,9.95,9.97,9.94,9.95,400.0
2026-01-27T09:30:00-05:00,9.935,9.96,9.64,9.66,42600.0
2026-01-27T09:45:00-05:00,9.66,9.725,9.655,9.66,22481.0
2026-01-27T10:00:00-05:00,9.66,9.74,9.64,9.715,31103.0
2026-01-27T10:15:00-05:00,9.72,9.725,9.65,9.685,18146.0
2026-01-27T10:30:00-05:00,9.68,9.68,9.61,9.615,33051.0
2026-01-27T10:45:00-05:00,9.615,9.635,9.575,9.59,42341.0
2026-01-27T11:00:00-05:00,9.59,9.63,9.535,9.615,30847.0
2026-01-27T11:16:00-05:00,9.635,9.79,9.635,9.79,22233.0
2026-01-27T11:42:00-05:00,9.86,9.88,9.83,9.84,37909.0
2026-01-27T12:00:00-05:00,9.85,9.86,9.78,9.78,15777.0
2026-01-27T12:17:00-05:00,9.775,9.775,9.77,9.77,700.0
2026-01-27T12:47:00-05:00,9.81,9.86,9.81,9.86,10584.0
2026-01-27T13:10:00-05:00,9.81,9.815,9.81,9.81,1029.0
2026-01-27T13:22:00-05:00,9.78,9.8,9.78,9.8,1596.0
2026-01-27T13:39:00-05:00,9.8,9.81,9.8,9.8,3893.0
2026-01-27T13:48:00-05:00,9.795,9.8,9.785,9.785,4008.0
2026-01-27T14:06:00-05:00,9.84,9.84,9.82,9.83,10277.0
2026-01-27T14:23:00-05:00,9.88,9.88,9.86,9.86,351.0
2026-01-27T14:34:00-05:00,9.84,9.85,9.84,9.84,15135.0
