time,open,high,low,close,volume
2026-01-28T09:48:00-05:00,62.16,62.2,62.115,62.16,9998.0
2026-01-28T10:18:00-05:00,62.215,62.3,62.1,62.28,40325.0
2026-01-28T10:30:00-05:00,62.28,62.5,62.18,62.31,43535.0
2026-01-28T11:11:00-05:00,62.53,62.53,62.45,62.45,5487.0
2026-01-28T11:19:00-05:00,62.59,62.78,62.565,62.59,36639.0
2026-01-28T11:30:00-05:00,62.6,63.0,62.6,63.0,29819.0
2026-01-28T11:45:00-05:00,63.0,63.01,62.92,62.98,5862.0
2026-01-28T12:22:00-05:00,62.79,63.04,62.79,62.965,22660.0
2026-01-28T12:30:00-05:00,62.98,63.07,62.9,62.9,28238.0
2026-01-28T12:45:00-05:00,62.94,63.0,62.7,62.86,16591.0
2026-01-28T13:00:00-05:00,62.87,62.98,62.735,62.735,28457.0
