time,open,high,low,close,volume
2026-01-28T09:48:00-05:00,57.61,57.65,57.6,57.63,4009.0
2026-01-28T10:18:00-05:00,57.56,57.67,57.49,57.5,24369.0
2026-01-28T10:30:00-05:00,57.56,57.57,57.32,57.485,33898.0
2026-01-28T11:11:00-05:00,57.35,57.36,57.35,57.36,900.0
2026-01-28T11:19:00-05:00,57.24,57.25,57.05,57.24,19808.0
2026-01-28T11:30:00-05:00,57.2,57.2,56.86,56.87,39911.0
2026-01-28T11:45:00-05:00,56.865,56.95,56.86,56.9,10753.0
2026-01-28T12:22:00-05:00,57.04,57.05,56.85,56.9,18497.0
2026-01-28T12:30:00-05:00,56.88,56.97,56.805,56.93,29862.0
2026-01-28T12:45:00-05:00,56.93,57.145,56.87,57.0,29180.0
2026-01-28T13:00:00-05:00,56.97,57.115,56.89,57.11,25757.0
