time,open,high,low,close,volume
2026-01-27T09:30:00-05:00,490.69,491.16,489.64,490.095,19695.0
2026-01-27T10:00:00-05:00,490.045,490.19,489.005,489.04,6643.0
2026-01-27T10:30:00-05:00,489.12,490.13,488.93,490.09,4485.0
2026-01-27T11:00:00-05:00,490.42,490.95,490.065,490.93,7364.0
2026-01-27T12:00:00-05:00,490.67,490.67,489.27,489.83,3032.0
2026-01-27T12:30:00-05:00,489.75,489.75,489.03,489.3,2273.0
2026-01-27T13:09:00-05:00,488.665,489.24,488.665,489.2,865.0
2026-01-27T13:37:00-05:00,489.36,489.71,489.265,489.71,900.0
2026-01-27T14:03:00-05:00,489.58,489.775,489.415,489.775,1259.0
2026-01-27T15:06:00-05:00,489.905,490.12,489.595,489.595,766.0
2026-01-27T15:30:00-05:00,489.625,490.13,489.625,490.04,10645.0
