time,open,high,low,close,volume
2026-01-27T08:25:00-05:00,5.88,5.88,5.88,5.88,110.0
2026-01-27T08:46:00-05:00,5.89,5.89,5.89,5.89,100.0
2026-01-27T09:08:00-05:00,5.88,5.89,5.88,5.89,388.0
2026-01-27T09:30:00-05:00,5.835,5.855,5.74,5.74,78639.0
2026-01-27T10:01:00-05:00,5.745,5.885,5.745,5.835,109019.0
2026-01-27T10:30:00-05:00,5.835,5.865,5.815,5.865,85387.0
2026-01-27T11:00:00-05:00,5.865,5.99,5.86,5.94,160922.0
2026-01-27T12:00:00-05:00,5.845,5.855,5.79,5.8,40513.0
2026-01-27T12:32:00-05:00,5.805,5.83,5.805,5.83,22744.0
2026-01-27T13:05:00-05:00,5.815,5.815,5.805,5.805,9839.0
2026-01-27T13:35:00-05:00,5.82,5.82,5.805,5.805,12526.0
2026-01-27T14:14:00-05:00,5.825,5.83,5.82,5.825,3154.0
2026-01-27T15:05:00-05:00,5.89,5.93,5.88,5.905,62459.0
