time,open,high,low,close,volume
2026-01-28T10:30:00-05:00,1.29,1.29,1.29,1.29,200.0
2026-01-28T10:35:00-05:00,1.31,1.31,1.31,1.31,800.0
2026-01-28T11:11:00-05:00,1.24,1.24,1.24,1.24,100.0
2026-01-28T11:21:00-05:00,1.215,1.215,1.215,1.215,300.0
2026-01-28T11:29:00-05:00,1.235,1.235,1.23,1.23,300.0
2026-01-28T11:35:00-05:00,1.205,1.205,1.165,1.17,797.0
2026-01-28T11:40:00-05:00,1.18,1.18,1.18,1.18,300.0
2026-01-28T11:46:00-05:00,1.18,1.18,1.18,1.18,300.0
2026-01-28T12:22:00-05:00,1.155,1.155,1.15,1.15,750.0
2026-01-28T12:33:00-05:00,1.15,1.15,1.15,1.15,100.0
2026-01-28T12:40:00-05:00,1.155,1.155,1.15,1.15,1585.0
2026-01-28T12:45:00-05:00,1.15,1.15,1.15,1.15,500.0
2026-01-28T12:57:00-05:00,1.155,1.16,1.155,1.16,1275.0
2026-01-28T13:01:00-05:00,1.165,1.165,1.165,1.165,100.0
2026-01-28T13:11:00-05:00,1.155,1.155,1.155,1.155,1188.0
