time,open,high,low,close,volume
2026-01-29T10:48:00-05:00,61.995,61.995,61.89,61.89,327.0
2026-01-29T10:54:00-05:00,61.69,61.69,61.67,61.67,981.0
2026-01-29T10:55:00-05:00,61.635,61.9,61.635,61.885,650.0
2026-01-29T11:04:00-05:00,61.71,61.71,61.71,61.71,123.0
2026-01-29T11:06:00-05:00,61.76,61.76,61.745,61.745,200.0
2026-01-29T11:20:00-05:00,62.27,62.285,62.25,62.25,950.0
2026-01-29T11:39:00-05:00,62.265,62.265,62.265,62.265,190.0
2026-01-29T11:43:00-05:00,62.395,62.395,62.395,62.395,200.0
2026-01-29T11:47:00-05:00,62.485,62.485,62.485,62.485,280.0
2026-01-29T11:54:00-05:00,62.405,62.405,62.405,62.405,100.0
2026-01-29T11:55:00-05:00,62.37,62.37,62.37,62.37,100.0
2026-01-29T12:00:00-05:00,62.425,62.505,62.425,62.505,200.0
2026-01-29T12:15:00-05:00,62.68,62.68,62.68,62.68,100.0
2026-01-29T12:37:00-05:00,62.915,62.915,62.915,62.915,422.0
2026-01-29T12:45:00-05:00,62.75,62.75,62.75,62.75,190.0
2026-01-29T12:54:00-05:00,62.615,62.615,62.615,62.615,200.0
2026-01-29T12:57:00-05:00,62.63,62.63,62.63,62.63,200.0
2026-01-29T13:30:00-05:00,62.88,62.88,62.78,62.78,650.0
2026-01-29T13:42:00-05:00,62.86,62.86,62.86,62.86,190.0
