time,open,high,low,close,volume
2026-01-27T09:41:00-05:00,2.83,2.83,2.83,2.83,100.0
2026-01-27T09:52:00-05:00,2.88,2.89,2.88,2.885,888.0
2026-01-27T09:55:00-05:00,2.9,2.9,2.86,2.86,1267.0
2026-01-27T10:01:00-05:00,2.84,2.86,2.84,2.86,498.0
2026-01-27T10:10:00-05:00,2.88,2.88,2.88,2.88,417.0
2026-01-27T10:38:00-05:00,2.94,2.94,2.94,2.94,100.0
2026-01-27T10:43:00-05:00,2.91,2.92,2.91,2.92,282.0
2026-01-27T10:45:00-05:00,2.92,2.92,2.92,2.92,494.0
2026-01-27T10:53:00-05:00,2.925,2.925,2.925,2.925,100.0
2026-01-27T11:02:00-05:00,2.91,2.91,2.91,2.91,200.0
2026-01-27T11:12:00-05:00,2.915,2.93,2.915,2.93,417.0
2026-01-27T11:23:00-05:00,2.92,2.92,2.92,2.92,537.0
2026-01-27T12:02:00-05:00,2.93,2.93,2.93,2.93,100.0
2026-01-27T14:27:00-05:00,2.93,2.93,2.93,2.93,200.0
