time,open,high,low,close,volume
2026-01-29T10:38:00-05:00,43.1,43.145,43.0,43.145,5546.0
2026-01-29T10:40:00-05:00,43.05,43.085,42.78,42.82,19066.0
2026-01-29T10:46:00-05:00,42.78,42.935,42.535,42.57,13035.0
2026-01-29T10:50:00-05:00,42.505,42.505,42.24,42.375,24494.0
2026-01-29T10:55:00-05:00,42.32,42.54,42.31,42.44,30120.0
2026-01-29T11:00:00-05:00,42.43,42.475,42.16,42.33,15159.0
2026-01-29T11:05:00-05:00,42.465,42.6,42.345,42.465,14390.0
2026-01-29T11:10:00-05:00,42.49,42.8,42.47,42.73,22159.0
2026-01-29T11:20:00-05:00,42.98,43.0,42.585,42.69,18918.0
2026-01-29T11:25:00-05:00,42.655,42.84,42.46,42.83,9755.0
2026-01-29T11:30:00-05:00,42.8,42.89,42.565,42.59,17926.0
2026-01-29T11:35:00-05:00,42.56,42.57,42.31,42.375,10268.0
2026-01-29T11:40:00-05:00,42.315,42.555,42.315,42.365,31358.0
2026-01-29T11:45:00-05:00,42.34,42.475,42.31,42.375,11769.0
2026-01-29T11:50:00-05:00,42.41,42.46,42.34,42.39,5812.0
2026-01-29T11:55:00-05:00,42.41,42.675,42.41,42.64,5474.0
2026-01-29T12:00:00-05:00,42.545,42.87,42.545,42.81,3863.0
2026-01-29T12:05:00-05:00,42.8,42.95,42.775,42.92,4279.0
2026-01-29T12:10:00-05:00,42.9,43.26,42.9,43.23,3940.0
2026-01-29T12:15:00-05:00,43.26,43.43,43.18,43.405,3540.0
2026-01-29T12:20:00-05:00,43.44,43.85,43.44,43.85,5445.0
2026-01-29T12:25:00-05:00,43.85,43.92,43.77,43.77,5355.0
2026-01-29T12:30:00-05:00,43.79,43.82,43.66,43.71,2963.0
2026-01-29T12:35:00-05:00,43.79,43.94,43.68,43.91,3377.0
2026-01-29T12:40:00-05:00,43.91,43.92,43.735,43.84,3250.0
2026-01-29T12:45:00-05:00,43.82,43.82,43.635,43.68,4286.0
2026-01-29T12:50:00-05:00,43.56,43.605,43.43,43.52,4568.0
2026-01-29T12:55:00-05:00,43.5,43.5,43.46,43.47,1158.0
2026-01-29T13:16:00-05:00,43.695,43.75,43.58,43.625,2436.0
2026-01-29T13:20:00-05:00,43.62,43.62,43.39,43.43,3911.0
2026-01-29T13:25:00-05:00,43.48,43.54,43.395,43.48,3802.0
2026-01-29T13:30:00-05:00,43.49,43.49,43.07,43.12,6429.0
2026-01-29T13:35:00-05:00,43.18,43.23,43.12,43.19,2776.0
2026-01-29T13:40:00-05:00,43.25,43.28,43.07,43.11,3358.0
2026-01-29T13:45:00-05:00,43.1,43.15,43.01,43.13,5066.0
2026-01-29T13:50:00-05:00,43.12,43.14,43.01,43.06,3471.0
2026-01-29T13:55:00-05:00,43.08,43.28,43.04,43.04,4053.0
2026-01-29T14:00:00-05:00,43.02,43.15,43.005,43.01,3189.0
2026-01-29T14:05:00-05:00,42.99,43.2,42.99,43.2,2791.0
