time,open,high,low,close,volume
2026-01-29T11:35:00-05:00,13.58,14.1,13.58,14.045,1171.0
2026-01-29T11:40:00-05:00,14.25,14.69,14.25,14.65,12228.0
2026-01-29T11:45:00-05:00,14.64,14.64,14.5,14.55,2182.0
2026-01-29T11:50:00-05:00,14.55,14.6,14.55,14.6,601.0
2026-01-29T11:55:00-05:00,14.56,14.56,14.52,14.52,790.0
2026-01-29T12:02:00-05:00,14.52,14.52,14.52,14.52,199.0
2026-01-29T12:11:00-05:00,14.59,14.62,14.59,14.62,1586.0
2026-01-29T12:23:00-05:00,13.6,13.6,13.6,13.6,100.0
2026-01-29T12:25:00-05:00,13.575,13.575,13.56,13.56,323.0
2026-01-29T12:37:00-05:00,13.81,13.81,13.81,13.81,100.0
2026-01-29T12:40:00-05:00,14.235,14.4,13.87,13.87,644.0
