time,open,high,low,close,volume
2026-01-29T11:20:00-05:00,35.445,35.445,35.445,35.445,200.0
2026-01-29T11:43:00-05:00,35.25,35.25,35.25,35.25,100.0
2026-01-29T11:53:00-05:00,35.75,35.75,35.75,35.75,102.0
2026-01-29T11:55:00-05:00,35.81,35.81,35.81,35.81,200.0
2026-01-29T12:04:00-05:00,35.86,35.86,35.84,35.84,226.0
2026-01-29T12:06:00-05:00,35.85,35.85,35.85,35.85,100.0
2026-01-29T12:29:00-05:00,36.12,36.12,36.12,36.12,126.0
2026-01-29T12:53:00-05:00,35.95,35.95,35.76,35.76,487.0
2026-01-29T13:18:00-05:00,35.6,35.6,35.6,35.6,125.0
2026-01-29T13:26:00-05:00,35.58,35.58,35.34,35.34,757.0
2026-01-29T13:30:00-05:00,35.27,35.27,35.27,35.27,100.0
2026-01-29T13:53:00-05:00,35.31,35.31,35.31,35.31,265.0
