time,open,high,low,close,volume
2026-01-26T12:46:00-05:00,1.22,1.24,1.17,1.19,1363.0
2026-01-26T13:06:00-05:00,1.21,1.245,1.21,1.245,1296.0
2026-01-26T13:19:00-05:00,1.245,1.29,1.23,1.29,2800.0
2026-01-26T13:30:00-05:00,1.28,1.28,1.23,1.23,3741.0
2026-01-26T13:48:00-05:00,1.24,1.28,1.24,1.28,723.0
2026-01-26T14:00:00-05:00,1.29,1.335,1.28,1.295,12143.0
2026-01-26T14:17:00-05:00,1.31,1.33,1.29,1.33,2813.0
2026-01-26T14:30:00-05:00,1.34,1.34,1.31,1.335,3482.0
2026-01-26T14:46:00-05:00,1.33,1.34,1.3,1.31,28647.0
2026-01-26T15:00:00-05:00,1.315,1.32,1.26,1.26,3697.0
2026-01-26T15:15:00-05:00,1.275,1.275,1.2,1.25,7792.0
2026-01-26T15:31:00-05:00,1.26,1.3,1.26,1.3,1705.0
2026-01-26T15:45:00-05:00,1.3,1.315,1.25,1.25,30953.0
2026-01-26T16:07:00-05:00,1.2,1.25,1.19,1.24,2821.0
