time,open,high,low,close,volume
2026-01-26T12:45:00-05:00,55.45,55.45,55.32,55.37,28364.0
2026-01-26T13:00:00-05:00,55.34,55.4,55.28,55.31,26462.0
2026-01-26T13:15:00-05:00,55.285,55.51,55.285,55.49,27412.0
2026-01-26T13:30:00-05:00,55.48,55.6,55.395,55.4,33624.0
2026-01-26T13:45:00-05:00,55.39,55.45,55.35,55.43,27430.0
2026-01-26T14:00:00-05:00,55.42,55.51,55.4,55.49,35926.0
2026-01-26T14:15:00-05:00,55.5,55.5,55.35,55.44,26062.0
2026-01-26T14:30:00-05:00,55.43,55.5,55.39,55.47,23718.0
2026-01-26T14:45:00-05:00,55.47,55.47,55.305,55.315,35268.0
2026-01-26T15:00:00-05:00,55.29,55.37,55.265,55.305,22831.0
2026-01-26T15:15:00-05:00,55.32,55.33,55.235,55.33,34126.0
2026-01-26T15:30:00-05:00,55.305,55.4,55.305,55.32,35531.0
2026-01-26T15:45:00-05:00,55.33,55.39,55.07,55.085,67861.0
2026-01-26T16:00:00-05:00,55.08,55.15,55.03,55.15,13866.0
