time,open,high,low,close,volume
2026-01-26T12:36:00-05:00,5.98,5.99,5.98,5.99,8529.0
2026-01-26T12:45:00-05:00,5.98,5.98,5.975,5.975,1041.0
2026-01-26T12:52:00-05:00,5.98,5.98,5.975,5.98,15964.0
2026-01-26T12:56:00-05:00,5.975,5.985,5.975,5.985,918.0
2026-01-26T13:01:00-05:00,5.975,5.98,5.965,5.965,5745.0
2026-01-26T13:05:00-05:00,5.965,5.975,5.96,5.96,19641.0
2026-01-26T13:13:00-05:00,5.96,5.965,5.96,5.96,4246.0
2026-01-26T13:16:00-05:00,5.96,5.98,5.96,5.98,7284.0
2026-01-26T13:20:00-05:00,5.97,5.975,5.97,5.975,6641.0
2026-01-26T13:25:00-05:00,5.97,5.975,5.97,5.97,5138.0
2026-01-26T13:36:00-05:00,5.97,5.97,5.96,5.96,4875.0
2026-01-26T13:42:00-05:00,5.96,5.96,5.95,5.95,2005.0
2026-01-26T13:47:00-05:00,5.95,5.95,5.95,5.95,13700.0
2026-01-26T13:50:00-05:00,5.945,5.945,5.94,5.94,15684.0
2026-01-26T13:58:00-05:00,5.935,5.935,5.93,5.93,827.0
2026-01-26T14:03:00-05:00,5.935,5.935,5.92,5.92,14621.0
2026-01-26T14:05:00-05:00,5.92,5.925,5.92,5.925,4028.0
2026-01-26T14:10:00-05:00,5.93,5.935,5.93,5.93,5722.0
2026-01-26T14:16:00-05:00,5.92,5.92,5.92,5.92,6038.0
2026-01-26T14:21:00-05:00,5.92,5.93,5.92,5.93,12503.0
2026-01-26T14:25:00-05:00,5.95,5.95,5.94,5.945,12709.0
2026-01-26T14:30:00-05:00,5.95,5.955,5.95,5.955,1328.0
2026-01-26T14:35:00-05:00,5.945,5.945,5.94,5.94,20024.0
2026-01-26T14:40:00-05:00,5.925,5.925,5.92,5.925,14310.0
2026-01-26T14:45:00-05:00,5.92,5.935,5.92,5.935,4755.0
2026-01-26T14:53:00-05:00,5.92,5.92,5.92,5.92,7969.0
2026-01-26T14:57:00-05:00,5.915,5.925,5.915,5.92,21362.0
2026-01-26T15:00:00-05:00,5.92,5.925,5.91,5.92,27395.0
2026-01-26T15:05:00-05:00,5.92,5.925,5.92,5.925,8210.0
2026-01-26T15:10:00-05:00,5.925,5.925,5.92,5.925,6907.0
2026-01-26T15:15:00-05:00,5.925,5.93,5.92,5.93,7713.0
2026-01-26T15:21:00-05:00,5.92,5.925,5.92,5.92,9959.0
2026-01-26T15:25:00-05:00,5.925,5.925,5.91,5.915,5458.0
2026-01-26T15:30:00-05:00,5.915,5.915,5.905,5.905,6454.0
2026-01-26T15:35:00-05:00,5.905,5.905,5.9,5.9,5042.0
2026-01-26T15:40:00-05:00,5.9,5.93,5.9,5.93,18022.0
2026-01-26T15:45:00-05:00,5.925,5.935,5.915,5.915,10782.0
2026-01-26T15:50:00-05:00,5.91,5.91,5.895,5.895,32458.0
