time,symbol,event,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-01-26T11:58:00-05:00,AAPL,1h_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,,2026-01-26T12:00:59.339577-05:00,254.96,200.0,254.99,300.0,254.97500000000002,0.030000000000001137,0.011765859397980638
2026-01-26T11:58:00-05:00,AAPL,30m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:00:59.339577-05:00,254.96,200.0,254.99,300.0,254.97500000000002,0.030000000000001137,0.011765859397980638
2026-01-26T11:58:00-05:00,AAPL,15m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:00:59.339577-05:00,254.96,200.0,254.99,300.0,254.97500000000002,0.030000000000001137,0.011765859397980638
2026-01-26T11:58:00-05:00,AAPL,5m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:00:59.339577-05:00,254.96,200.0,254.99,300.0,254.97500000000002,0.030000000000001137,0.011765859397980638
2026-01-26T11:58:00-05:00,NVDA,1h_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,,2026-01-26T12:01:00.164818-05:00,187.0,500.0,187.02,300.0,187.01,0.020000000000010232,0.01069461526122145
2026-01-26T11:58:00-05:00,NVDA,30m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:01:00.164818-05:00,187.0,500.0,187.02,300.0,187.01,0.020000000000010232,0.01069461526122145
2026-01-26T11:58:00-05:00,NVDA,15m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:01:00.164818-05:00,187.0,500.0,187.02,300.0,187.01,0.020000000000010232,0.01069461526122145
2026-01-26T11:58:00-05:00,NVDA,5m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:01:00.164818-05:00,187.0,500.0,187.02,300.0,187.01,0.020000000000010232,0.01069461526122145
2026-01-26T11:58:00-05:00,QQQ,1h_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,,2026-01-26T12:01:00.114347-05:00,626.95,400.0,626.97,120.0,626.96,0.01999999999998181,0.0031899961720016925
2026-01-26T11:58:00-05:00,QQQ,30m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:01:00.114347-05:00,626.95,400.0,626.97,120.0,626.96,0.01999999999998181,0.0031899961720016925
2026-01-26T11:58:00-05:00,QQQ,15m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:01:00.114347-05:00,626.95,400.0,626.97,120.0,626.96,0.01999999999998181,0.0031899961720016925
2026-01-26T11:58:00-05:00,QQQ,5m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:01:00.114347-05:00,626.95,400.0,626.97,120.0,626.96,0.01999999999998181,0.0031899961720016925
2026-01-26T11:58:00-05:00,MSFT,1h_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,,2026-01-26T12:01:00.033140-05:00,473.2,120.0,474.0,80.0,473.6,0.8000000000000114,0.1689189189189213
2026-01-26T11:58:00-05:00,MSFT,30m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:01:00.033140-05:00,473.2,120.0,474.0,80.0,473.6,0.8000000000000114,0.1689189189189213
2026-01-26T11:58:00-05:00,MSFT,15m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:01:00.033140-05:00,473.2,120.0,474.0,80.0,473.6,0.8000000000000114,0.1689189189189213
2026-01-26T11:58:00-05:00,MSFT,5m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:01:00.033140-05:00,473.2,120.0,474.0,80.0,473.6,0.8000000000000114,0.1689189189189213
2026-01-26T11:58:00-05:00,SPY,1h_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,,2026-01-26T12:01:00.167465-05:00,693.12,160.0,693.13,160.0,693.125,0.009999999999990905,0.0014427412082944498
2026-01-26T11:58:00-05:00,SPY,30m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:01:00.167465-05:00,693.12,160.0,693.13,160.0,693.125,0.009999999999990905,0.0014427412082944498
2026-01-26T11:58:00-05:00,SPY,15m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:01:00.167465-05:00,693.12,160.0,693.13,160.0,693.125,0.009999999999990905,0.0014427412082944498
2026-01-26T11:58:00-05:00,SPY,5m_close,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:01:00.167465-05:00,693.12,160.0,693.13,160.0,693.125,0.009999999999990905,0.0014427412082944498
2026-01-26T12:00:00-05:00,MSFT,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:05:59.113882-05:00,473.32,40.0,473.9,80.0,473.61,0.5799999999999841,0.12246363041320582
2026-01-26T12:00:00-05:00,SPY,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:06:00.105392-05:00,693.58,120.0,693.59,80.0,693.585,0.009999999999990905,0.001441784352313113
2026-01-26T12:00:00-05:00,NVDA,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:06:00.085599-05:00,187.07,600.0,187.08,300.0,187.075,0.010000000000019327,0.005345449685965162
2026-01-26T12:00:00-05:00,AAPL,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:06:00.062320-05:00,255.27,200.0,255.3,200.0,255.28500000000003,0.030000000000001137,0.011751571772725046
2026-01-26T12:00:00-05:00,QQQ,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:06:00.139955-05:00,627.34,80.0,627.36,80.0,627.35,0.01999999999998181,0.003188013070850691
2026-01-26T12:05:00-05:00,SPY,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,0.0012992623119131082,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:11:00.141232-05:00,693.33,200.0,693.34,80.0,693.335,0.009999999999990905,0.001442304225228916
2026-01-26T12:05:00-05:00,NVDA,5m_close,ACTIVE,BOTH,1,1,1,0,1,-1,0,0,0,0,0,-0.04421157560925537,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:11:00.130272-05:00,186.95,200.0,186.99,400.0,186.97,0.040000000000020464,0.021393806493031214
2026-01-26T12:05:00-05:00,AAPL,5m_close,ACTIVE,BOTH,1,1,1,0,1,-1,0,0,0,0,0,-0.07592180846163281,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:11:00.129511-05:00,254.64,200.0,254.67,200.0,254.65499999999997,0.030000000000001137,0.011780644401249197
2026-01-26T12:05:00-05:00,MSFT,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,0.07147067961678902,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:11:00.128682-05:00,473.44,40.0,473.93,40.0,473.685,0.4900000000000091,0.1034442720373263
2026-01-26T12:05:00-05:00,QQQ,5m_close,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,-0.0192246739139377,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:11:00.152861-05:00,626.99,200.0,627.01,120.0,627.0,0.01999999999998181,0.0031897926634739727
2026-01-26T12:19:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:21:00.090271-05:00,627.2,120.0,627.22,1120.0,627.21,0.01999999999998181,0.0031887246695655055
2026-01-26T12:19:00-05:00,AAPL,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:21:00.036738-05:00,254.59,200.0,254.62,100.0,254.60500000000002,0.030000000000001137,0.011782957915202426
2026-01-26T12:19:00-05:00,NVDA,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:21:00.035191-05:00,186.82,400.0,186.84,200.0,186.82999999999998,0.020000000000010232,0.010704918910244733
2026-01-26T12:19:00-05:00,MSFT,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:20:59.637333-05:00,473.63,120.0,474.5,80.0,474.065,0.8700000000000045,0.18351913767099542
2026-01-26T12:19:00-05:00,SPY,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:21:00.012521-05:00,693.55,200.0,693.56,160.0,693.555,0.009999999999990905,0.0014418467172741753
2026-01-26T12:20:00-05:00,NVDA,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:26:00.118699-05:00,186.82,200.0,186.84,400.0,186.82999999999998,0.020000000000010232,0.010704918910244733
2026-01-26T12:20:00-05:00,AAPL,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:25:59.485490-05:00,254.74,200.0,254.76,200.0,254.75,0.01999999999998181,0.007850834151121417
2026-01-26T12:20:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:26:00.125512-05:00,627.4,840.0,627.42,400.0,627.41,0.01999999999998181,0.00318770819718873
2026-01-26T12:20:00-05:00,MSFT,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:26:00.126298-05:00,473.61,40.0,474.0,80.0,473.805,0.38999999999998636,0.08231234368569061
2026-01-26T12:20:00-05:00,SPY,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:26:00.126466-05:00,693.63,40.0,693.64,160.0,693.635,0.009999999999990905,0.0014416804226993888
2026-01-26T12:19:00-05:00,NVDA,30m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:31:00.135582-05:00,186.57,400.0,186.59,500.0,186.57999999999998,0.020000000000010232,0.01071926251474447
2026-01-26T12:19:00-05:00,NVDA,15m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.135582-05:00,186.57,400.0,186.59,500.0,186.57999999999998,0.020000000000010232,0.01071926251474447
2026-01-26T12:25:00-05:00,NVDA,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,-1,0,0,0,0,0,-0.03023285028295774,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.135582-05:00,186.57,400.0,186.59,500.0,186.57999999999998,0.020000000000010232,0.01071926251474447
2026-01-26T12:19:00-05:00,AAPL,30m_close,1.0,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:31:00.071395-05:00,254.44,200.0,254.47,200.0,254.45499999999998,0.030000000000001137,0.011789903912283562
2026-01-26T12:19:00-05:00,AAPL,15m_close,1.0,ACTIVE,BOTH,1,1,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.071395-05:00,254.44,200.0,254.47,200.0,254.45499999999998,0.030000000000001137,0.011789903912283562
2026-01-26T12:25:00-05:00,AAPL,5m_close,1.0,ACTIVE,BOTH,1,1,1,0,1,-1,0,0,0,0,0,-0.05508577976625414,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.071395-05:00,254.44,200.0,254.47,200.0,254.45499999999998,0.030000000000001137,0.011789903912283562
2026-01-26T12:19:00-05:00,SPY,30m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:31:00.127571-05:00,693.47,80.0,693.48,200.0,693.475,0.009999999999990905,0.001442013050216793
2026-01-26T12:19:00-05:00,SPY,15m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.127571-05:00,693.47,80.0,693.48,200.0,693.475,0.009999999999990905,0.001442013050216793
2026-01-26T12:25:00-05:00,SPY,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,-0.005871792250095955,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.127571-05:00,693.47,80.0,693.48,200.0,693.475,0.009999999999990905,0.001442013050216793
2026-01-26T12:19:00-05:00,MSFT,30m_close,1.2,CONFIRMED,BOTH,1,1,0,1,1,0,0,0,0,0,1,nan,nan,nan,nan,1.0,1.0,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:31:00.084416-05:00,473.14,40.0,473.37,40.0,473.255,0.2300000000000182,0.048599592186034636
2026-01-26T12:19:00-05:00,MSFT,15m_close,1.2,CONFIRMED,BOTH,1,1,0,1,1,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.084416-05:00,473.14,40.0,473.37,40.0,473.255,0.2300000000000182,0.048599592186034636
2026-01-26T12:25:00-05:00,MSFT,5m_close,1.2,CONFIRMED,BOTH,1,1,1,1,1,-1,0,0,0,1,1,-0.035002860389428535,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.084416-05:00,473.14,40.0,473.37,40.0,473.255,0.2300000000000182,0.048599592186034636
2026-01-26T12:19:00-05:00,QQQ,30m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,30m neutral: no confirmation,2026-01-26T12:31:00.152903-05:00,626.93,960.0,626.95,160.0,626.94,0.020000000000095497,0.003190097936021867
2026-01-26T12:19:00-05:00,QQQ,15m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.152903-05:00,626.93,960.0,626.95,160.0,626.94,0.020000000000095497,0.003190097936021867
2026-01-26T12:25:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,-0.018964522904165972,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-01-26T12:31:00.152903-05:00,626.93,960.0,626.95,160.0,626.94,0.020000000000095497,0.003190097936021867
2026-01-26T12:35:00-05:00,IONQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.025302-05:00,45.88,100.0,45.91,100.0,45.894999999999996,0.02999999999999403,0.06536659766857834
2026-01-26T12:35:00-05:00,UBER,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:59.915697-05:00,82.79,300.0,82.82,200.0,82.805,0.029999999999986926,0.036229696274363773
